id,name,address.street,address.city,address.zipCode,address.county,lat,long,match_address,match_name,DAY1_OPEN,DAY1_CLOSE,DAY2_OPEN,DAY2_CLOSE,DAY3_OPEN,DAY3_CLOSE,DAY4_OPEN,DAY4_CLOSE,DAY5_OPEN,DAY5_CLOSE,DAY6_OPEN,DAY6_CLOSE,DAY0_OPEN,DAY0_CLOSE
8245,1st Quality Market,2655 Nicollet Ave,Minneapolis,55408,Hennepin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1548,52 MARKET  AND TRADING,990 ARCADE ST,Saint Paul,55106,Ramsey,44.970965,-93.0657013,"990 Arcade St, St Paul, MN 55106, United States",52 Market & Trading,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000
8782,75 Market and Deli,1187 Minnehaha Ave E ,Saint Paul,55106,Ramsey,44.9632454,-93.0503794,"1187 Minnehaha Ave E, St Paul, MN 55106, United States",75 Market,830,1800,830,1900,830,1900,830,1900,830,1900,830,1900,830,1900
8685,7th Grocery,43 7th St W,Saint Paul,55102,Ramsey,44.947625,-93.098563,"43 7th St W, St Paul, MN 55102, United States",7th Grocery,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200,700,2200
8875,A A Market,191 Western Ave N,Saint Paul,55102,Ramsey,44.9470787,-93.1162414,"191 Western Ave N # 1, St Paul, MN 55102, United States",AA Market,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300
8552,Aaran Halal Market,8904 Old Cedar Ave S,Bloomington,55425,Hennepin,44.8422222,-93.2483333,"8904 Old Cedar Ave S, Bloomington, MN 55425, United States",Aaran Halal Market,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200,600,2200
8379,Africa International Market,7617 Welcome Ave N,Brooklyn Park,55443,Hennepin,45.0944366,-93.3536758,"7617 Welcome Ave N, Brooklyn Park, MN 55443, United States",AFRICA INTERNATIONAL MARKET,900,2030,900,2030,900,2030,900,2030,900,2030,900,2030,900,2030
8783,African Halal & Deli,405 E Lake St ,Minneapolis,55408,Hennepin,44.9482422,-93.270185,"405 E Lake St, Minneapolis, MN 55408, United States",African Safari Meat Market,1000,1600,900,1900,900,1900,900,1900,900,1900,900,1900,900,1800
8624,African Plaza,555 Snelling Ave N ,Saint Paul,55104,Ramsey,44.9578577,-93.167226,"555 Snelling Ave N, St Paul, MN 55104, United States",Star Food Market,930,1900,930,1900,930,1900,930,1900,930,1900,930,1900,930,1900
341,AFRIK GROCERY,613 CEDAR AVE S,Minneapolis,55454,Hennepin,44.9672211,-93.2470825,"613 Cedar Ave, Minneapolis, MN 55454, United States",Afrik Grocery,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7902,AIN-U-SHAMS,"131  LITCHFIELD AVE. SW, Suite 101",Willmar,56201,Kandiyohi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8672,Ainushams Halal Foods,123 W Lake St,Minneapolis,55408,Hennepin,44.9482258,-93.2808541,"123 W Lake St, Minneapolis, MN 55408, United States",Ainushams Halal Foods,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8618,Alif Halal Market,"1501 Riverwood Dr, Suite 180 ",Burnsville,55337,Dakota,44.7856827,-93.2536619,"1501 Riverwood Dr #180, Burnsville, MN 55337, United States",Alif Halal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5336,AL & LAURA'S FOODS,309 N Mill St,Fertile,56540,Polk,47.5362074,-96.2804997,"309 N Mill St, Fertile, MN 56540, USA",309 N Mill St,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8390,Almadina Grocery Market,1001 E Franklin Ave,Minneapolis,55404,Hennepin,44.9626169,-93.2594631,"1001 E Franklin Ave, Minneapolis, MN 55404, United States",Almadina Halal,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
8971,Almich's Market,2525 20th Street,Slayton,56172,Murray,43.993757,-95.7556289,"2525 20th St, Slayton, MN 56172, United States",Jim's Market,900,1700,800,2000,800,2000,800,2000,800,2000,800,2000,800,1900
8755,Almich's Market,34 E Center Ave,Clara City,56222,Chippewa,44.956483,-95.3663075,"34 East Center Ave W, Clara City, MN 56222, United States",Almich Market,630,1900,630,2000,630,2000,630,2000,630,2000,630,2000,630,2000
1212,ALMICH'S MARKET,1340 9TH ST,Granite Falls,56241,Yellow Medicine,44.8055556,-95.5522222,"1340 9th St, Granite Falls, MN 56241, United States",Almich's Market,700,2000,600,2000,600,2000,600,2000,600,2000,600,2000,700,1700
297,Almsted's Fresh Market,4200 Douglas Dr,Crystal,55422,Hennepin,45.0331785,-93.3594223,"4200 Douglas Dr N, Crystal, MN 55422, United States",Almsted's Fresh Market,700,2300,600,2300,600,2300,600,2300,600,2300,600,2300,600,2300
8788,A.M. Food & Tobacco,1814 Nicollet Ave S,Minneapolis,55403,Hennepin,44.964934,-93.2779909,"1814 Nicollet Ave, Minneapolis, MN 55403, United States",AM Food Market,900,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200
8908,Amin Grocery Store,302 4TH STREET S.W. SUITE  3,Willmar,56201,Kandiyohi,45.1212576,-95.0481734,"302 4th St SW SUITE 3, Willmar, MN 56201, United States",Amin Grocery LLC,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,2100
8061,ANDALE TAQUERIA Y MERCADO,7700 NICOLLET AVE S,Richfield,55423,Hennepin,44.8635485,-93.2788362,"Andale Taqueria & Mercado, 7700 Nicollet Ave, Minneapolis, MN 55423, USA",Andale Taqueria & Mercado,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8802,Annapolis Super USA ,1333 Thomas Ave,Saint Paul,55104,Ramsey,44.9596344,-93.1566218,"1333 Thomas Ave W, St Paul, MN 55104, United States",Super USA,800,2100,700,2100,700,2100,700,2100,700,2100,700,2100,800,2100
8792,Asian Market,1423 Rice St,Saint Paul,55117,Ramsey,44.9840358,-93.10623,"1423 Rice St, St Paul, MN 55117, United States",Nepali Market,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000
8799,Bakar Grocery,1217 Marion Rd SE #600,Rochester,55904,Olmsted,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8536,Bakken's Market,33 Main St S,Clearbrook,56634,Clearwater,47.6940398,-95.4284336,"33 Main St S, Clearbrook, MN 56634, United States",Bakkens Fairway Market,1000,1400,730,1830,730,1830,730,1830,730,1830,730,1830,800,1830
8660,Baraka Grocery,1005 N Broadway Ave ,Rochester,55906,Olmsted,NaN,NaN,"1005 N Broadway Ave, Rochester, MN 55906, United States",Broadway Grocery,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7776,BARNESVILLE GROCERY,123 2ND ST SE,Barnesville,56514,Clay,46.6525948,-96.4190615,"123 2nd St SE, Barnesville, MN 56514, United States",Barnesville Super Market,700,2000,700,2000,700,2000,700,2000,700,2000,700,2000,700,2000
